COD_DEP,COD_MUN,DEPARTAMENTO,MUNICIPIO,AÑO,DELITO,CRIMINALIDAD,ES_ARCHIVO,ES_PRECLUSIÓN,ESTADO,ETAPA_CASO,LEY,TOTAL_PROCESOS,TRANSHUMANTES,IDC_TOTAL,MUJERES_DIVIPOLE,HOMBRES_DIVIPOLE,TOTAL_DIVIPOLE
01,265,ANTIOQUIA,SOPETRAN,2019,INTERVENCION EN POLITICA ART. 422 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,664.0,1082.0,6180.0,6381.0,12561.0
01,270,ANTIOQUIA,TARAZA,2019,VOTO FRAUDULENTO ART. 391 C.P,SI,NO,NO,ACTIVO,JUICIO,LEY 906,1.0,624.0,2923.0,12012.0,13324.0,25336.0
01,270,ANTIOQUIA,TARAZA,2019,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,NO,NO,ACTIVO,JUICIO,LEY 906,1.0,624.0,2923.0,12012.0,13324.0,25336.0
01,271,ANTIOQUIA,TARSO,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,356.0,543.0,2978.0,3067.0,6045.0
01,271,ANTIOQUIA,TARSO,2019,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,356.0,543.0,2978.0,3067.0,6045.0
01,271,ANTIOQUIA,TARSO,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,356.0,543.0,2978.0,3067.0,6045.0
01,271,ANTIOQUIA,TARSO,2019,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,356.0,543.0,2978.0,3067.0,6045.0
01,271,ANTIOQUIA,TARSO,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,356.0,543.0,2978.0,3067.0,6045.0
None,094,NORTE DE SANTANDER,TOLEDO,2019,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,715.0,1403.0,5915.0,6682.0,12597.0
None,094,NORTE DE SANTANDER,TOLEDO,2019,INTERVENCION EN POLITICA ART. 422 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,715.0,1403.0,5915.0,6682.0,12597.0
None,094,NORTE DE SANTANDER,TOLEDO,2019,TRAFICO DE VOTOS ART. 390A,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,715.0,1403.0,5915.0,6682.0,12597.0
01,280,ANTIOQUIA,TURBO,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,2884.0,8918.0,45695.0,42810.0,88505.0
01,280,ANTIOQUIA,TURBO,2019,TRAFICO DE VOTOS ART. 390A,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,2884.0,8918.0,45695.0,42810.0,88505.0
01,280,ANTIOQUIA,TURBO,2019,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,2884.0,8918.0,45695.0,42810.0,88505.0
01,280,ANTIOQUIA,TURBO,2019,MORA EN LA ENTREGA DE DOCUMENTOS RELACIONADOS CON UNA VOTACION ART. 393 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,2884.0,8918.0,45695.0,42810.0,88505.0
01,280,ANTIOQUIA,TURBO,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,2884.0,8918.0,45695.0,42810.0,88505.0
01,280,ANTIOQUIA,TURBO,2019,TRAFICO DE VOTOS ART. 390A,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,2884.0,8918.0,45695.0,42810.0,88505.0
01,280,ANTIOQUIA,TURBO,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,2884.0,8918.0,45695.0,42810.0,88505.0
