,crime,criminality,is_file,is_preclusion,state,state_case,law,departament,municipality,year,total_processes
284,FAVORECIMIENTO DE VOTO FRAUDULENTO ART. 392 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,MAGDALENA,PIJIÑO DEL CARMEN,2019,1
287,INTERVENCION EN POLITICA ART. 422 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,NORTE DE SANTANDER,CONVENCIÓN,2019,1
288,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,ANTIOQUIA,AMAGÁ,2019,1
290,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,NARIÑO,PROVIDENCIA,2019,1
292,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,CASANARE,SAN LUIS DE PALENQUE,2019,1
300,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,NARIÑO,PASTO,2019,2
304,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,CALDAS,MANIZALES,2019,1
315,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,TOLIMA,FLANDES,2019,1
323,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,ATLÁNTICO,LURUACO,2019,2
326,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,TOLIMA,NATAGAIMA,2019,1
328,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,BOYACA,PÁEZ,2019,1
329,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,INACTIVO,INDAGACIÓN,LEY 906,TOLIMA,ALVARADO,2019,1
332,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,LA GUAJIRA,RIOHACHA,2019,1
334,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,MAGDALENA,TENERIFE,2019,1
336,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,SANTANDER,CONTRATACIÓN,2019,2
339,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,PUTUMAYO,ORITO,2019,1
348,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,ANTIOQUIA,REMEDIOS,2019,1
357,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,MAGDALENA,SANTA MARTA,2019,2
359,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,JUICIO,LEY 906,SANTANDER,CHIMA,2019,1
363,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,CESAR,LA JAGUA DE IBIRICO,2019,1
364,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,SANTANDER,ONZAGA,2019,1
367,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,VICHADA,CUMARIBO,2019,1
369,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,CESAR,TAMALAMEQUE,2019,1
374,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,VICHADA,PUERTO CARREÑO,2019,1
378,VOTO FRAUDULENTO ART. 391 C.P,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,SANTANDER,PIEDECUESTA,2019,1
380,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,INACTIVO,INDAGACIÓN,LEY 906,CALDAS,RISARALDA,2019,1
384,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,NO,NO,INACTIVO,JUICIO,LEY 906,ANTIOQUIA,MURINDÓ,2019,1
386,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,BOYACA,SANTA ROSA DE VITERBO,2019,1
388,FAVORECIMIENTO DE VOTO FRAUDULENTO ART. 392 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,GUAINÍA,INÍRIDA,2019,1
389,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,MAGDALENA,SAN ZENÓN,2019,1
390,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,INACTIVO,INDAGACIÓN,LEY 906,CESAR,ASTREA,2019,1
391,ELECCION ILICITA DE CANDIDATOS ART. 389A,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,BOYACA,RÁQUIRA,2019,1
392,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,LA GUAJIRA,BARRANCAS,2019,1
393,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,CHOCÓ,TADÓ,2019,1
394,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,CHOCÓ,SAN JOSÉ DEL PALMAR,2019,1
400,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,SANTANDER,GIRÓN,2019,1
403,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,NO,NO,ACTIVO,JUICIO,LEY 906,SANTANDER,PUERTO PARRA,2019,1
404,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,NO,SI,INACTIVO,JUICIO,LEY 906,CÓRDOBA,MOÑITOS,2019,1
414,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,CÓRDOBA,LOS CÓRDOBAS,2019,1
415,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,ANTIOQUIA,PEQUE,2019,1
419,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,BOYACA,QUÍPAMA,2019,1
425,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,SUCRE,OVEJAS,2019,1
426,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,BOYACA,LABRANZAGRANDE,2019,1
433,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,NO,NO,NO,ACTIVO,JUICIO,LEY 906,CUNDINAMARCA,TOPAIPÍ,2019,1
436,INTERVENCION EN POLITICA ART. 422 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,CUNDINAMARCA,SUSA,2019,1
442,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,MAGDALENA,SAN ZENÓN,2019,1
443,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,INACTIVO,INDAGACIÓN,LEY 906,ANTIOQUIA,SANTO DOMINGO,2019,2
448,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,TOLIMA,PIEDRAS,2019,1
452,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,BOLÍVAR,HATILLO DE LOBA,2019,1
456,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,ANTIOQUIA,MEDELLÍN,2019,1
